textbox1,,,,,,,,,,,,,,
 Nutrient Status % of pH - Tamil Nadu Cycle -II,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_,sum,pH,,,
1,Ariyalur,0.17,0,0.09,3.59,14.75,8.94,71.96,0.5,12.5,5.058163066,,,"AS - Acid Sulphate, SrAc- Strongly acidic,"
2,Coimbatore,0.3,0.01,0.28,6.76,7.4,4.64,77.4,3.2,12.49875,6.342310202,,,"HAc - Highly Acidic, MAc - Moderately Acidic, SlAc - Slightly Acidic,"
3,Cuddalore,0.11,0.03,2.63,12.62,11.75,4.66,67.22,0.97,12.49875,7.159440784,,," N - Neutral, MAl - Moderately Alkaline, SlAl - Strongly Alkaline"
4,Dharmapuri,0.01,0,0,0.34,2.69,10.31,86.17,0.47,12.49875,6.750907646,,,range 0-14
5,Dindigul,0.04,0.05,0.76,12.11,9.2,2.8,74.06,0.98,12.5,6.587899619,,,
6,Erode,0.04,0.01,0.06,2.87,4.19,1.7,89.45,1.69,12.50125,8.088644373,,,
7,Kanchipuram,0.17,0.01,0.23,5.21,16.23,5.26,72.75,0.14,12.5,8.855968167,,,
8,Kanniyakumari,0.08,4.39,26.14,47.86,11.57,1.83,8.09,0.05,12.50125,7.154377679,,,
9,Karur,0.07,0,0,2.33,9.87,2.09,85.55,0.09,12.5,8.261101369,,,
10,Krishnagiri,0.1,0.06,0.6,22.34,20.77,7.25,48.14,0.74,12.5,5.982434051,,,
11,Madurai,0.33,0.03,0.42,5.5,6.56,0.6,84.93,1.63,12.5,7.671940745,,,
12,Nagapattinam,0.04,0,0.14,5.01,15.49,5.89,71.15,2.29,12.50125,6.057599694,,,
13,Namakkal,0.51,0.27,1.14,4.01,1.72,0.4,86.11,5.85,12.50125,6.978617149,,,
14,Perambalur,0.01,0,0,0.4,1.28,0.41,96.4,1.51,12.50125,7.695307282,,,
15,Pudukkottai,0.32,0.26,1.59,28.95,13.53,2.46,52.47,0.43,12.50125,8.358423731,,,
16,Ramanathapuram,0.71,0.57,7.5,18.98,11.07,3.11,55.86,2.19,12.49875,6.604900628,,,
17,Salem,0.12,0,0.22,2.62,3.15,1.09,91.8,1.01,12.50125,5.568148753,,,
18,Sivaganga,0.06,0.11,2.11,28.61,21.05,4.02,43.15,0.89,12.5,7.708494803,,,
19,Thanjavur,0.08,0.01,0,3.44,14.02,7.28,75.05,0.12,12.5,8.047837412,,,
20,The Nilgiris,0.82,7.97,49.29,32.71,5.19,0.73,3.27,0.01,12.49875,7.635018922,,,
21,Theni,0.09,0,0.38,2.61,3.88,1.46,90.88,0.7,12.5,6.178088389,,,
22,Thiruvallur,0.03,0,0.02,27.26,40.4,5.54,26.72,0.03,12.5,6.919636558,,,
23,Thiruvarur,0.04,0,0,12.25,23.58,6.91,57.19,0.02,12.49875,5.485348252,,,
24,Tiruchirappalli,0,0.01,0.43,4.5,3.56,1.11,80.01,10.37,12.49875,8.423260602,,,
25,Tirunelveli,0.01,0.05,2.45,14.24,8.99,5.71,68.21,0.33,12.49875,8.455400901,,,
26,Tiruppur,0.09,0.02,0.02,1.58,2.98,2.24,89.99,3.08,12.5,7.17596852,,,
27,Tiruvannamalai,0.04,0.01,0.03,2.03,5.84,3.47,88.47,0.11,12.5,6.189545908,,,
28,Tuticorin,0.16,0,0.69,3.72,4.03,0.09,89.57,1.74,12.5,6.057389578,,,
29,Vellore,0.14,0.01,0.21,10.59,8.86,1.15,76.98,2.06,12.5,7.820846112,,,
30,Villupuram,0.25,0.07,1.15,10.73,11.22,3.39,71.35,1.83,12.49875,5.825968393,,,
31,Virudhunagar,0.3,0.27,0.84,3.88,2.4,0.94,82.62,8.76,12.50125,5.602858833,,,
